State,Incidencia_delicitva_tasa_2017,delitos_ocurridos,delitos_denunciados,corrupcion_mp
Aguascalientes,41254.0899,356569,41397,58.5
Baja California,51285.65575,1251729,151758,56.5
Baja California Sur,29939.14012,167996,31326,57.4
Campeche,28892.34708,184176,22562,54.6
Coahuila,25214.97264,514187,63046,60.5
Colima,29449.17171,153007,18503,56.6
Chiapas,20055.20562,654852,56393,64
Chihuahua,34919.67164,889007,113530,54.7
Mexico City,49912.55578,3445878,336134,86.8
Durango,23282.61567,274428,36349,56.4
Guanajuato,33383.93638,1287997,157671,58.9
Guerrero,47392.47878,1083057,29794,60.4
Hidalgo,23563.78217,461922,59180,65.7
Jalisco,41874.3805,2311287,261495,60.9
State of Mexico,62751.32383,7492242,583889,78.7
Michoacan,26365.69539,813928,75816,58.4
Morelos,43749.38004,595419,54689,71.5
Nayarit,26259.83614,223790,27964,52.7
Nuevo Leon,32819.30622,1189818,109857,55.1
Oaxaca,27896.78414,746427,54613,65
Puebla,31330.96417,1300496,148148,66.3
Queretaro,26860.11503,373365,47193,60.5
Quintana Roo,32862.15909,369766,45510,69.3
San Luis Potosi,25866.87235,480577,54050,61.9
Sinaloa,23257.02244,486489,48054,53.3
Sonora,42624.30287,866697,80786,61.6
Tabasco,31663.60893,515001,51262,71.1
Tamaulipas,23318.0416,575032,50923,46.5
Tlaxcala,27707.49359,239971,25745,66
Veracruz ,19892.09505,1115381,114480,63.9
Yucatan,23735.73859,358206,46993,55.6
Zacatecas,24159.81154,252284,26291,54
